Dia;       Friday, 08. July 2022;  Hora de Inicio;    09:31:50
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
09:31:54; 25.00; 35.00;  0
09:31:55; 25.00; 35.00;  0
09:31:56; 25.00; 31.00;  0
09:31:57; 25.00; 31.00;  0
09:31:58; 25.10; 35.00;  0
09:32:01; 25.10; 35.00;  0
09:32:01; 25.10; 35.00;  0
09:32:02; 25.10; 35.00;  0
09:32:03; 25.10; 35.00;  0
09:32:04; 25.10; 35.00;  0
09:32:04; 25.10; 35.00;  0
09:32:05; 25.10; 35.00;  0
09:32:06; 25.20; 35.00;  0
09:32:07; 25.20; 35.00;  0
09:32:08; 25.20; 35.00;  0
09:32:09; 25.20; 35.00;  0
09:32:10; 25.20; 35.00;  0
09:32:11; 25.20; 35.00;  0
09:32:12; 25.20; 34.00;  0
09:32:13; 25.20; 34.00;  0
09:32:14; 25.20; 34.00;  0
09:32:15; 25.20; 34.00;  0
09:32:16; 25.30; 35.00;  0
09:32:17; 25.30; 35.00;  0
09:32:19; 25.30; 35.00;  0
09:32:20; 25.30; 35.00;  0
09:32:21; 25.30; 35.00;  0
09:32:22; 25.30; 35.00;  0
09:32:23; 25.30; 35.00;  0
09:32:24; 25.30; 35.00;  0
09:32:25; 25.30; 35.00;  0
09:32:26; 25.30; 35.00;  0
09:32:27; 25.30; 34.00;  0
09:32:28; 25.30; 34.00;  0
09:32:29; 25.30; 34.00;  0
09:32:30; 25.30; 34.00;  0
09:32:31; 25.30; 34.00;  0
09:32:32; 25.30; 34.00;  0
09:32:33; 25.30; 34.00;  0
09:32:34; 25.30; 34.00;  0
09:32:35; 25.30; 34.00;  0
09:32:36; 25.30; 34.00;  0
09:32:37; 25.30; 34.00;  0
09:32:38; 25.30; 34.00;  0
09:32:39; 25.30; 34.00;  0
09:32:40; 25.30; 34.00;  0
09:32:41; 25.30; 34.00;  0
09:32:42; 25.30; 34.00;  0
09:32:43; 25.30; 33.00;  0
09:32:44; 25.30; 33.00;  0
09:32:45; 25.30; 33.00;  0
09:32:46; 25.30; 33.00;  0
09:32:47; 25.30; 33.00;  0
09:32:48; 25.30; 33.00;  0
09:32:49; 25.30; 33.00;  0
09:32:50; 25.30; 33.00;  0
09:32:51; 25.30; 33.00;  0
09:32:52; 25.30; 33.00;  0
09:32:53; 25.30; 33.00;  0
09:32:54; 25.30; 33.00;  0
09:32:55; 25.30; 33.00;  0
09:32:56; 25.30; 33.00;  0
09:32:57; 25.30; 33.00;  0
09:32:58; 25.30; 33.00;  0
09:32:59; 25.30; 33.00;  0
09:33:00; 25.30; 33.00;  0
09:33:01; 25.30; 33.00;  0
09:33:02; 25.30; 33.00;  0
09:33:03; 25.30; 33.00;  0
09:33:04; 25.30; 33.00;  0
09:33:05; 25.30; 33.00;  0
09:33:06; 25.30; 33.00;  0
