Dia;       Wednesday, 06. July 2022;  Hora de Inicio;    15:52:49
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
15:55:39; 28.40; 36.00;  1
15:55:40; 28.40; 36.00;  1
15:55:41; 28.40; 36.00;  1
15:55:42; 28.40; 36.00;  1
15:55:43; 28.40; 36.00;  1
15:55:44; 28.40; 36.00;  1
15:55:45; 28.40; 36.00;  1
15:55:46; 28.40; 36.00;  1
15:55:47; 28.40; 36.00;  1
15:55:48; 28.40; 36.00;  1
15:55:49; 28.40; 36.00;  1
15:55:50; 28.40; 36.00;  1
15:55:51; 28.40; 36.00;  1
15:55:52; 28.40; 36.00;  1
15:55:53; 28.40; 36.00;  1
15:55:54; 28.40; 36.00;  1
15:55:55; 28.40; 36.00;  1
15:55:56; 28.40; 36.00;  1
15:55:57; 28.40; 36.00;  1
15:55:58; 28.40; 36.00;  1
15:55:59; 28.40; 36.00;  1
15:56:00; 28.40; 36.00;  1
15:56:01; 28.40; 36.00;  1
15:56:02; 28.40; 36.00;  1
15:56:03; 28.40; 36.00;  1
15:56:04; 28.40; 36.00;  1
15:56:05; 28.40; 36.00;  1
15:56:06; 28.40; 36.00;  1
15:56:07; 28.40; 36.00;  1
15:56:08; 28.40; 36.00;  1
15:56:09; 28.40; 36.00;  1
15:56:10; 28.40; 36.00;  1
15:56:11; 28.40; 36.00;  1
15:56:12; 28.40; 36.00;  1
15:56:13; 28.40; 36.00;  1
15:56:14; 28.40; 36.00;  1
15:56:15; 28.40; 36.00;  1
15:56:16; 28.40; 36.00;  1
15:56:17; 28.40; 36.00;  1
15:56:18; 28.40; 36.00;  1
15:56:19; 28.40; 36.00;  1
15:56:20; 28.40; 36.00;  1
15:56:21; 28.40; 36.00;  1
15:56:22; 28.40; 36.00;  1
15:56:23; 28.40; 36.00;  1
15:56:24; 28.40; 36.00;  1
15:56:25; 28.40; 36.00;  1
15:56:26; 28.40; 36.00;  1
15:56:27; 28.40; 36.00;  1
15:56:28; 28.40; 36.00;  1
15:56:29; 28.40; 36.00;  1
15:56:30; 28.40; 36.00;  1
15:56:31; 28.40; 36.00;  1
15:56:32; 28.40; 36.00;  1
15:56:33; 28.40; 36.00;  1
15:56:34; 28.40; 36.00;  1
15:56:35; 28.40; 36.00;  1
15:56:36; 28.40; 36.00;  1
15:56:37; 28.40; 36.00;  1
15:56:38; 28.40; 36.00;  1
15:56:39; 28.40; 36.00;  1
15:56:40; 28.40; 36.00;  1
15:56:41; 28.40; 36.00;  1
