Dia;       Friday, 15. July 2022;  Hora de Inicio;    12:38:47
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
12:38:53; 28.30; 44.00;  1
12:39:23; 28.40; 44.00;  1
12:39:54; 28.50; 44.00;  1
12:40:25; 28.50; 44.00;  1
12:40:56; 28.60; 43.00;  1
12:41:27; 28.70; 43.00;  1
12:41:58; 28.80; 42.00;  1
12:42:29; 28.80; 42.00;  1
12:43:00; 28.80; 42.00;  1
12:43:31; 28.90; 42.00;  1
12:44:02; 29.00; 42.00;  1
12:44:33; 29.00; 42.00;  1
12:45:04; 29.00; 42.00;  1
12:45:35; 29.00; 42.00;  1
12:46:06; 29.00; 41.00;  1
12:46:37; 29.00; 41.00;  1
12:47:08; 29.00; 42.00;  1
12:47:39; 29.00; 42.00;  1
12:48:10; 29.10; 42.00;  1
12:48:41; 29.10; 42.00;  1
12:49:12; 29.10; 42.00;  1
12:49:43; 29.10; 42.00;  1
12:50:13; 29.20; 41.00;  1
12:50:44; 29.20; 41.00;  1
12:51:15; 29.20; 41.00;  1
12:51:46; 29.30; 41.00;  1
12:52:16; 29.30; 41.00;  1
12:52:47; 29.30; 41.00;  1
12:53:18; 29.30; 41.00;  1
12:53:49; 29.30; 41.00;  1
12:54:19; 29.30; 41.00;  1
12:54:50; 29.30; 41.00;  1
12:55:21; 29.30; 41.00;  1
12:55:52; 29.40; 41.00;  1
12:56:23; 29.40; 41.00;  1
12:56:54; 29.50; 40.00;  1
12:57:25; 29.50; 40.00;  1
12:57:56; 29.60; 40.00;  1
12:58:27; 29.60; 40.00;  1
12:58:58; 29.60; 40.00;  1
12:59:29; 29.60; 40.00;  1
13:00:00; 29.60; 40.00;  1
13:00:31; 29.70; 40.00;  1
13:01:02; 29.70; 39.00;  1
13:01:33; 29.70; 39.00;  1
13:02:04; 29.80; 39.00;  1
13:02:35; 29.80; 39.00;  1
13:03:06; 29.80; 39.00;  1
13:03:37; 29.80; 39.00;  1
13:04:08; 29.80; 39.00;  1
13:04:39; 29.80; 39.00;  1
13:05:10; 29.80; 39.00;  1
13:05:41; 29.80; 39.00;  1
13:06:12; 29.80; 39.00;  1
13:06:43; 29.80; 38.00;  1
13:07:13; 29.80; 38.00;  1
13:07:44; 29.80; 38.00;  1
13:08:15; 29.90; 38.00;  1
13:08:46; 29.90; 38.00;  1
13:09:16; 29.90; 38.00;  1
13:09:47; 29.90; 38.00;  1
13:10:18; 29.90; 38.00;  1
13:10:49; 29.90; 38.00;  1
13:11:19; 29.80; 39.00;  1
13:11:50; 29.80; 38.00;  1
13:12:21; 29.90; 38.00;  1
13:12:52; 29.90; 38.00;  1
13:13:23; 29.90; 38.00;  1
13:13:54; 29.90; 38.00;  1
13:14:25; 29.90; 38.00;  1
13:14:56; 29.90; 38.00;  1
13:15:27; 29.90; 38.00;  1
13:15:58; 29.90; 38.00;  1
13:16:29; 29.90; 38.00;  1
13:17:00; 29.90; 38.00;  1
13:17:31; 30.00; 38.00;  1
13:18:02; 30.00; 38.00;  1
13:18:33; 30.00; 38.00;  1
13:19:04; 30.00; 38.00;  1
13:19:35; 30.00; 38.00;  1
13:20:06; 30.00; 38.00;  1
13:20:37; 30.10; 38.00;  1
13:21:08; 30.10; 38.00;  1
13:21:39; 30.10; 38.00;  1
