Dia;       Friday, 03. February 2023;  Hora de Inicio;    07:34:33
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
08:00:04; 20.00; 30.00;  0
08:00:14; 20.10; 30.00;  0
08:00:25; 20.00; 30.00;  0
08:00:35; 20.10; 30.00;  0
08:00:46; 20.10; 30.00;  0
08:00:56; 20.10; 30.00;  0
08:01:06; 20.10; 29.00;  0
08:01:16; 20.10; 29.00;  0
08:01:27; 20.10; 29.00;  0
08:01:37; 20.10; 29.00;  0
08:01:48; 20.00; 29.00;  0
08:01:58; 20.10; 29.00;  0
08:02:09; 20.10; 29.00;  0
08:02:19; 20.10; 29.00;  0
08:02:29; 20.00; 29.00;  0
08:02:39; 20.10; 29.00;  0
08:02:50; 20.10; 29.00;  0
08:03:00; 20.10; 29.00;  0
08:03:10; 20.10; 29.00;  0
08:03:20; 20.10; 29.00;  0
08:03:31; 20.10; 29.00;  0
08:03:42; 20.10; 29.00;  0
08:03:52; 20.10; 28.00;  0
08:04:03; 20.20; 28.00;  0
08:04:13; 20.10; 28.00;  0
08:04:23; 20.20; 28.00;  0
08:04:33; 20.10; 29.00;  0
08:04:44; 20.20; 29.00;  0
08:04:54; 20.10; 29.00;  0
08:05:04; 20.10; 29.00;  0
08:05:14; 20.20; 29.00;  0
08:05:25; 20.10; 29.00;  0
08:05:35; 20.20; 29.00;  0
08:05:46; 20.20; 29.00;  0
08:05:56; 20.20; 29.00;  0
08:06:07; 20.20; 29.00;  0
08:06:17; 20.20; 29.00;  0
08:06:27; 20.20; 29.00;  0
08:06:37; 20.20; 29.00;  0
08:06:48; 20.10; 28.00;  0
08:06:58; 20.20; 28.00;  0
08:07:08; 20.10; 28.00;  0
08:07:18; 20.10; 28.00;  0
08:07:29; 20.20; 28.00;  0
08:07:39; 20.20; 28.00;  0
08:07:50; 20.30; 29.00;  0
08:08:01; 20.20; 28.00;  0
08:08:11; 20.30; 29.00;  0
08:08:21; 20.20; 28.00;  0
08:08:31; 20.20; 28.00;  0
08:08:42; 20.20; 28.00;  0
08:08:52; 20.20; 28.00;  0
08:09:02; 20.20; 28.00;  0
08:09:12; 20.20; 28.00;  0
08:09:23; 20.20; 28.00;  0
08:09:33; 20.20; 28.00;  0
08:09:44; 20.30; 29.00;  0
08:09:54; 20.20; 28.00;  0
08:10:05; 20.20; 28.00;  0
08:10:15; 20.20; 28.00;  0
08:10:25; 20.20; 28.00;  0
08:10:35; 20.20; 28.00;  0
08:10:46; 20.20; 28.00;  0
08:10:56; 20.30; 29.00;  0
08:11:06; 20.30; 29.00;  0
08:11:16; 20.30; 29.00;  0
08:11:27; 20.30; 29.00;  0
08:11:37; 20.40; 29.00;  0
08:11:48; 20.40; 29.00;  0
08:11:58; 20.40; 29.00;  0
08:12:09; 20.40; 29.00;  0
08:12:19; 20.40; 29.00;  0
08:12:29; 20.40; 29.00;  0
08:12:39; 20.30; 29.00;  0
08:12:50; 20.30; 29.00;  0
08:13:00; 20.30; 29.00;  0
08:13:10; 20.30; 29.00;  0
08:13:20; 20.40; 29.00;  0
08:13:31; 20.40; 29.00;  0
08:13:42; 20.40; 29.00;  0
08:13:52; 20.40; 29.00;  0
08:14:03; 20.40; 29.00;  0
08:14:13; 20.40; 29.00;  0
08:14:23; 20.40; 29.00;  0
08:14:33; 20.40; 29.00;  0
08:14:44; 20.40; 29.00;  0
08:14:54; 20.40; 29.00;  0
08:15:04; 20.40; 28.00;  0
08:15:14; 20.40; 28.00;  0
08:15:25; 20.40; 28.00;  0
08:15:35; 20.40; 28.00;  0
08:15:46; 20.40; 28.00;  0
08:15:56; 20.30; 28.00;  0
08:16:06; 20.30; 28.00;  0
08:16:16; 20.30; 28.00;  0
08:16:27; 20.40; 28.00;  0
08:16:37; 20.40; 28.00;  0
08:16:48; 20.40; 28.00;  0
08:16:58; 20.40; 28.00;  0
08:17:09; 20.40; 28.00;  0
08:17:19; 20.40; 28.00;  0
08:17:29; 20.40; 28.00;  0
08:17:39; 20.40; 28.00;  0
08:17:50; 20.40; 28.00;  0
08:18:00; 20.40; 29.00;  0
08:18:10; 20.50; 29.00;  0
08:18:20; 20.50; 29.00;  0
08:18:31; 20.50; 29.00;  0
08:18:42; 20.50; 29.00;  0
08:18:52; 20.60; 29.00;  0
08:19:03; 20.60; 29.00;  0
08:19:13; 20.60; 29.00;  0
08:19:23; 20.60; 29.00;  0
08:19:33; 20.60; 29.00;  0
08:19:44; 20.60; 29.00;  0
08:19:54; 20.60; 29.00;  0
08:20:04; 20.60; 29.00;  0
08:20:14; 20.60; 29.00;  0
08:20:25; 20.70; 29.00;  0
08:20:35; 20.60; 29.00;  0
08:20:46; 20.60; 29.00;  0
08:20:56; 20.60; 28.00;  0
08:21:07; 20.70; 28.00;  0
08:21:17; 20.60; 28.00;  0
08:21:27; 20.70; 28.00;  0
08:21:37; 20.70; 28.00;  0
08:21:48; 20.80; 28.00;  0
08:21:58; 20.80; 28.00;  0
08:22:08; 20.80; 28.00;  0
08:22:18; 20.80; 28.00;  0
08:22:29; 20.80; 28.00;  0
08:22:39; 20.90; 28.00;  0
08:22:50; 20.90; 28.00;  0
08:23:01; 20.80; 28.00;  0
08:23:11; 20.80; 28.00;  0
08:23:21; 20.70; 28.00;  0
08:23:31; 20.80; 28.00;  0
08:23:42; 20.80; 28.00;  0
08:23:52; 20.80; 28.00;  0
08:24:02; 20.80; 28.00;  0
08:24:12; 20.90; 28.00;  0
08:24:23; 20.80; 28.00;  0
08:24:33; 20.80; 28.00;  0
08:24:44; 20.80; 28.00;  0
08:24:54; 20.80; 28.00;  0
08:25:05; 20.80; 28.00;  0
08:25:15; 20.80; 28.00;  0
08:25:25; 20.80; 28.00;  0
08:25:35; 20.80; 28.00;  0
08:25:46; 20.80; 28.00;  0
08:25:56; 20.80; 28.00;  0
08:26:06; 20.80; 28.00;  0
08:26:16; 20.80; 28.00;  0
08:26:27; 20.80; 28.00;  0
08:26:37; 20.80; 28.00;  0
08:26:48; 20.80; 28.00;  0
08:26:58; 20.90; 28.00;  0
08:27:09; 20.90; 28.00;  0
08:27:19; 20.90; 28.00;  0
08:27:29; 20.90; 29.00;  0
08:27:39; 20.90; 28.00;  0
08:27:50; 20.90; 28.00;  0
