Dia;       Wednesday, 08. February 2023;  Hora de Inicio;    10:30:41
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
10:38:24; 18.40; 27.00;  0
10:38:54; 22.70; 18.00;  0
10:39:25; 22.80; 19.00;  0
10:39:56; 22.80; 17.00;  0
